Date,HomeTeam,AwayTeam,FTHG,FTAG,home_form_last5,away_form_last5,home_goals_scored_last5,away_goals_scored_last5,home_goals_conceded_last5,away_goals_conceded_last5,home_goals_diff_last5,away_goals_diff_last5,home_win_rate_last5,away_win_rate_last5,head2head_form_last3,head2head_goal_diff_last3,FTR
2019-12-22,Gent,Club brugge,1,1,1.4,2.4,1.6,1.8,1.2,0.6,0.4,1.2,0.4,0.8,0.0,-4.0,0
2019-12-22,St truiden,Antwerp,1,1,0.6,2.6,1.2,2.0,2.6,0.6,-1.4,1.4,0.2,0.8,0.0,-2.0,0
2019-12-22,Anderlecht,Genk,2,0,1.2,1.4,1.0,1.8,1.0,1.6,0.0,0.2,0.2,0.4,0.0,-1.0,1
2019-12-26,Genk,Eupen,2,1,1.4,0.6,1.8,0.6,1.6,1.2,0.2,-0.6,0.4,0.2,0.0,-2.0,1
2019-12-26,Kortrijk,Cercle brugge,1,0,1.0,0.8,0.8,1.0,1.2,1.6,-0.4,-0.6,0.2,0.2,3.0,2.0,1
2019-12-26,Mouscron,Mechelen,1,2,1.2,0.8,1.4,0.4,1.4,1.4,0.0,-1.0,0.2,0.2,1.0,0.0,-1
2019-12-26,Waasland-beveren,St truiden,1,0,0.8,0.8,0.8,1.2,2.4,2.4,-1.6,-1.2,0.2,0.2,1.0,0.0,1
2019-12-26,Club brugge,Waregem,4,0,2.6,1.8,1.8,1.6,0.4,1.0,1.4,0.6,0.8,0.6,3.0,2.0,1
2019-12-26,Standard,Gent,0,1,1.6,1.6,1.6,1.4,1.4,0.8,0.2,0.6,0.4,0.4,0.0,-2.0,-1
2019-12-27,Charleroi,Oostende,5,0,2.2,1.2,1.8,1.0,0.4,1.4,1.4,-0.4,0.6,0.4,3.0,1.0,1
2019-12-27,Antwerp,Anderlecht,0,0,2.2,1.2,1.6,1.0,0.4,0.8,1.2,0.2,0.6,0.2,3.0,1.0,0
2020-01-17,Mechelen,Standard,2,3,1.4,1.0,0.8,1.2,1.2,1.4,-0.4,-0.2,0.4,0.2,3.0,1.0,-1
2020-01-18,Eupen,Charleroi,1,1,0.6,2.2,0.6,2.2,1.2,0.2,-0.6,2.0,0.2,0.6,0.0,-1.0,0
2020-01-18,Oostende,Waasland-beveren,0,1,1.2,1.2,1.0,0.8,2.0,2.2,-1.0,-1.4,0.4,0.4,0.0,-2.0,-1
2020-01-18,St truiden,Kortrijk,2,0,0.8,1.4,1.0,1.0,2.0,1.2,-1.0,-0.2,0.2,0.4,0.0,-4.0,1
2020-01-18,Gent,Mouscron,3,1,2.0,1.0,1.4,1.2,0.6,1.4,0.8,-0.2,0.6,0.2,0.0,-1.0,1
2020-01-19,Cercle brugge,Antwerp,1,2,0.6,2.2,0.8,1.4,1.6,0.2,-0.8,1.2,0.2,0.6,0.0,-2.0,-1
2020-01-19,Anderlecht,Club brugge,1,2,1.2,2.6,1.0,2.2,0.8,0.4,0.2,1.8,0.2,0.8,0.0,-1.0,-1
2020-01-19,Waregem,Genk,0,3,1.2,1.8,1.2,1.8,1.8,1.4,-0.6,0.4,0.4,0.6,3.0,2.0,-1
2020-01-24,Standard,Oostende,2,1,1.0,0.6,1.4,0.4,1.6,1.8,-0.2,-1.4,0.2,0.2,3.0,3.0,1
2020-01-25,Mouscron,St truiden,1,3,1.0,0.8,1.4,1.0,1.8,1.8,-0.4,-0.8,0.2,0.2,3.0,1.0,-1
2020-01-25,Waasland-beveren,Eupen,0,1,1.8,0.8,1.0,0.8,1.8,1.2,-0.8,-0.4,0.6,0.2,1.0,0.0,-1
2020-01-25,Gent,Genk,4,1,2.0,2.4,1.6,2.2,0.8,1.0,0.8,1.2,0.6,0.8,3.0,2.0,1
2020-01-26,Antwerp,Waregem,2,1,2.2,0.6,1.6,1.0,0.4,2.4,1.2,-1.4,0.6,0.2,0.0,-2.0,1
2020-01-26,Kortrijk,Club brugge,2,2,1.4,2.6,1.0,2.4,1.2,0.6,-0.2,1.8,0.4,0.8,0.0,-3.0,0
2020-01-26,Cercle brugge,Anderlecht,1,2,0.6,1.2,0.8,0.8,1.6,0.6,-0.8,0.2,0.2,0.2,0.0,-1.0,-1
2020-01-29,Charleroi,Club brugge,0,0,1.8,2.2,2.0,2.4,0.4,0.8,1.6,1.6,0.4,0.6,,,0
2020-01-31,Kortrijk,Standard,3,1,1.4,1.4,1.2,1.4,1.4,1.4,-0.2,0.0,0.4,0.4,0.0,-1.0,1
2020-02-01,Eupen,Cercle brugge,1,0,0.8,0.6,0.8,0.8,1.2,1.6,-0.4,-0.8,0.2,0.2,3.0,1.0,1
2020-02-01,Oostende,St truiden,1,0,0.6,1.4,0.6,1.4,2.0,1.6,-1.4,-0.2,0.2,0.4,0.0,-1.0,1
2020-02-01,Mechelen,Gent,0,3,1.4,2.0,1.2,2.0,1.6,1.0,-0.4,1.0,0.4,0.6,0.0,-3.0,-1
2020-02-01,Genk,Charleroi,1,0,1.8,1.8,2.0,2.0,1.6,0.4,0.4,1.6,0.6,0.4,0.0,-1.0,1
